ABBREVIATION,TITLE
ACM J. EXP. ALGORITHMICS,ACM JOURNAL OF EXPERIMENTAL ALGORITHMICS
ACM QUEUE,ACM QUEUE
ACM TRANS. ACCESSIBLE COMPUT.,ACM TRANSACTIONS ON ACCESSIBLE COMPUTING
ACM TRANS. ALGORITHMS,ACM TRANSACTIONS ON ALGORITHMS
ACM TRANS. APPL. PERCEPT.,ACM TRANSACTIONS ON APPLIED PERCEPTION
ACM TRANS. ARCHIT. CODE OPTIM.,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION
ACM TRANS. ASIAN LANG. INF. PROCESS.,ACM TRANSACTIONS ON ASIAN LANGUAGE INFORMATION PROCESSING
ACM TRANS. ASIAN LOW-RESOUR. LANG. INF. PROCESS.,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING
ACM TRANS. AUTON. ADAPT. SYST.,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS
ACM TRANS. COMPUT. EDUC.,ACM TRANSACTIONS ON COMPUTING EDUCATION
ACM TRANS. COMPUT. HEALTHCARE,ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE
ACM TRANS. COMPUT. LOGIC,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC
ACM TRANS. COMPUT. SYST.,ACM TRANSACTIONS ON COMPUTER SYSTEMS
ACM TRANS. COMPUT. THEORY,ACM TRANSACTIONS ON COMPUTATION THEORY
ACM TRANS. COMPUT.-HUM. INTERACT.,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION
ACM TRANS. CYBER-PHYS. SYST.,ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS
ACM TRANS. DATABASE SYST.,ACM TRANSACTIONS ON DATABASE SYSTEMS
ACM TRANS. DES. AUTOM. ELECTRON. SYST.,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS
ACM TRANS. ECON. COMPUT.,ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION
ACM TRANS. EMBEDDED COMPUT. SYST.,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS
ACM TRANS. EVOL. LEARN.,ACM TRANSACTIONS ON EVOLUTIONARY LEARNING
ACM TRANS. EVOL. LEARN. OPTIM.,ACM TRANSACTIONS ON EVOLUTIONARY LEARNING AND OPTIMIZATION
ACM TRANS. GRAPHICS,ACM TRANSACTIONS ON GRAPHICS
ACM TRANS. HUM.-ROB. INTERACT.,ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION
ACM TRANS. INF. SYST.,ACM TRANSACTIONS ON INFORMATION SYSTEMS
ACM TRANS. INF. SYST. SECUR.,ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY
ACM TRANS. INTELL. SYST. TECHNOL.,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY
ACM TRANS. INTERACT. INTELL. SYST.,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS
ACM TRANS. INTERNET TECHNOL.,ACM TRANSACTIONS ON INTERNET TECHNOLOGY
ACM TRANS. INTERNET THINGS,ACM TRANSACTIONS ON INTERNET OF THINGS
ACM TRANS. KNOWL. DISCOVERY DATA,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA
ACM TRANS. MANAGE. INF. SYST.,ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS
ACM TRANS. MATH. SOFTWARE,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE
ACM TRANS. MODEL. COMPUT. SIMUL.,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION
ACM TRANS. MODEL. PERFORM. EVAL. COMPUT. SYST.,ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS
ACM TRANS. MULTIMEDIA COMPUT. COMMUN. APPL.,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS
ACM TRANS. PARALLEL COMPUT.,ACM TRANSACTIONS ON PARALLEL COMPUTING
ACM TRANS. PRIVACY SECUR.,ACM TRANSACTIONS ON PRIVACY AND SECURITY
ACM TRANS. PROGRAM. LANG. SYST.,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS
ACM TRANS. QUANTUM COMPUT.,ACM TRANSACTIONS ON QUANTUM COMPUTING
ACM TRANS. RECONFIGURABLE TECHNOL. SYST.,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS
ACM TRANS. SENS. NETW.,ACM TRANSACTIONS ON SENSOR NETWORKS
ACM TRANS. SOCIAL COMPUT.,ACM TRANSACTIONS ON SOCIAL COMPUTING
ACM TRANS. SOFTWARE ENG. METHOD.,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY
ACM TRANS. SPATIAL ALGORITHMS SYST.,ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS
ACM TRANS. SPEECH LANG. PROCESS.,ACM TRANSACTIONS ON SPEECH AND LANGUAGE PROCESSING
ACM TRANS. STORAGE,ACM TRANSACTIONS ON STORAGE
ACM TRANS. WEB,ACM TRANSACTIONS ON THE WEB
ACM/IMS TRANS. DATA SCI.,ACM/IMS TRANSACTIONS ON DATA SCIENCE
ACOUST. AUST.,ACOUSTICS AUSTRALIA
ACOUST. IMAGING,ACOUSTICAL IMAGING
ACOUST. PHYS.,ACOUSTICAL PHYSICS
ACOUST. RES. LETT. ONLINE,ACOUSTICS RESEARCH LETTERS ONLINE
ACOUST. SCI. TECHNOL.,ACOUSTICAL SCIENCE AND TECHNOLOGY
ACOUST. TODAY,ACOUSTICS TODAY
ACS AGRIC. SCI. TECHNOL.,ACS AGRICULTURAL SCIENCE & TECHNOLOGY
ACS APPL. BIO MATER.,ACS APPLIED BIO MATERIALS
ACS APPL. ELECTRON. MATER.,ACS APPLIED ELECTRONIC MATERIALS
ACS APPL. ENERGY MATER.,ACS APPLIED ENERGY MATERIALS
ACS APPL. MATER. INTERFACES,ACS APPLIED MATERIALS & INTERFACES
ACS APPL. NANO MATER.,ACS APPLIED NANO MATERIALS
ACS APPL. POLYM. MATER.,ACS APPLIED POLYMER MATERIALS
ACS BIO & MED CHEM AU,ACS BIO & MED CHEM AU
ACS BIOMATER. SCI. ENG.,ACS BIOMATERIALS SCIENCE & ENGINEERING
ACS CATAL.,ACS CATALYSIS
ACS CENT. SCI.,ACS CENTRAL SCIENCE
ACS CHEM. BIOL.,ACS CHEMICAL BIOLOGY
ACS CHEM. HEALTH SAF.,ACS CHEMICAL HEALTH AND SAFETY
ACS CHEM. NEUROSCI.,ACS CHEMICAL NEUROSCIENCE
ACS COMB. SCI.,ACS COMBINATORIAL SCIENCE
ACS EARTH SPACE CHEM.,ACS EARTH AND SPACE CHEMISTRY
ACS ENERGY LETT.,ACS ENERGY LETTERS
ACS ENG. AU,ACS ENGINEERING AU
ACS ENVIRON. AU,ACS ENVIRONMENTAL AU
ACS ES&T ENG.,ACS ES&T ENGINEERING
ACS ES&T WATER,ACS ES&T WATER
ACS FOOD SCI. TECHNOL.,ACS FOOD SCIENCE & TECHNOLOGY
ACS INFECT. DIS.,ACS INFECTIOUS DISEASES
ACS MACRO LETT.,ACS MACRO LETTERS
ACS MATER. AU,ACS MATERIALS AU
ACS MATER. LETT.,ACS MATERIALS LETTERS
ACS MED. CHEM. LETT.,ACS MEDICINAL CHEMISTRY LETTERS
ACS NANO,ACS NANO
ACS NANOSCI. AU,ACS NANOSCIENCE AU
ACS OMEGA,ACS OMEGA
ACS ORG. INORG. AU,ACS ORGANIC & INORGANIC AU
ACS PHARMACOL. TRANSL. SCI.,ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE
ACS PHOTONICS,ACS PHOTONICS
ACS PHYS. CHEM. AU,ACS PHYSICAL CHEMISTRY AU
ACS SENS.,ACS SENSORS
ACS SUSTAINABLE CHEM. ENG.,ACS SUSTAINABLE CHEMISTRY & ENGINEERING
ACS SYMP. SER.,ACS SYMPOSIUM SERIES
ACS SYNTH. BIOL.,ACS SYNTHETIC BIOLOGY
ACT. PASSIVE ELECTRON. COMPON.,ACTIVE AND PASSIVE ELECTRONIC COMPONENTS
ACTA ACUST.,ACTA ACUSTICA
ACTA ACUST. UNITED ACUST.,ACTA ACUSTICA UNITED WITH ACUSTICA
ACTA AGRIC. SCAND. SECT A,ACTA AGRICULTURAE SCANDINAVICA SECTION A: ANIMAL SCIENCE
ACTA AGRIC. SCAND. SECT B,ACTA AGRICULTURAE SCANDINAVICA SECTION B: SOIL AND PLANT SCIENCE
ACTA AGRON. SIN.,ACTA AGRONOMICA SINICA
ACTA AMAZONICA,ACTA AMAZONICA
ACTA ANAL.,ACTA ANALYTICA
ACTA APPL. MATH.,ACTA APPLICANDAE MATHEMATICAE
ACTA ARCHAEOL.,ACTA ARCHAEOLOGICA
ACTA ASTRONAUT.,ACTA ASTRONAUTICA
ACTA AUTOM. SIN.,ACTA AUTOMATICA SINICA
ACTA BIOCHIM. BIOPHYS. SIN.,ACTA BIOCHIMICA ET BIOPHYSICA SINICA
ACTA BIOCHIM. BIOPHYS. SIN.,ACTA BIOCHIMICA ET BIOPHYSICA SINICA
ACTA BIOCHIM. POL.,ACTA BIOCHIMICA POLONICA
ACTA BIOL. MED. GER.,ACTA BIOLOGICA ET MEDICA GERMANICA
ACTA BIOMATER.,ACTA BIOMATERIALIA
ACTA BIOQUIM. CLIN. LATINOAM.,ACTA BIOQUIMICA CLINICA LATINOAMERICANA
ACTA BIOTECHNOL.,ACTA BIOTECHNOLOGICA
ACTA BIOTHEOR.,ACTA BIOTHEORETICA
ACTA BOREALIA,ACTA BOREALIA
ACTA BOT. NEERL.,ACTA BOTANICA NEERLANDICA
ACTA CHEM. SCAND.,ACTA CHEMICA SCANDINAVICA
ACTA CHEM. SCAND. SER. A,"ACTA CHEMICA SCANDINAVICA, SERIES A: PHYSICAL AND INORGANIC CHEMISTRY"
ACTA CHEM. SCAND. SER. B,"ACTA CHEMICA SCANDINAVICA, SERIES B: ORGANIC CHEMISTRY AND BIOCHEMISTRY"
ACTA CHIM. SINICA,ACTA CHIMICA SINICA
ACTA CHIM. SLOV.,ACTA CHIMICA SLOVENICA
ACTA CHIROPTEROL.,ACTA CHIROPTEROLOGICA
ACTA CHROMATOGR.,ACTA CHROMATOGRAPHICA
"ACTA CIENC. INDICA, CHEM.",ACTA CIENCIA INDICA CHEMISTRY
"ACTA CIENC. INDICA, PHYS.",ACTA CIENCIA INDICA PHYICS
"ACTA CRYSTALLOGR., SECT. A: FOUND. CRYSTALLOGR.",ACTA CRYSTALLOGRAPHICA SECTION A: FOUNDATIONS
"ACTA CRYSTALLOGR., SECT. B: STRUCT. SCI",ACTA CRYSTALLOGRAPHICA SECTION B: STRUCTURAL SCIENCE
"ACTA CRYSTALLOGR., SECT. C: CRYST. STRUCT. COMMUN.",ACTA CRYSTALLOGRAPHICA SECTION C: CRYSTAL STRUCTURE COMMUNICATIONS
"ACTA CRYSTALLOGR., SECT. D: BIOL. CRYSTALLOGR.",ACTA CRYSTALLOGRAPHICA SECTION D: BIOLOGICAL CRYSTALLOGRAPHY
"ACTA CRYSTALLOGR., SECT. E: STRUCT. REP. ONLINE",ACTA CRYSTALLOGRAPHICA SECTION E STRUCTURE REPORTS ONLINE
"ACTA CRYSTALLOGR., SECT. F: STRUCT. BIOL. CRYST. COMMUN.",ACTA CRYSTALLOGRAPHICA SECTION F: STRUCTURAL BIOLOGY AND CRYSTALLIZATION COMMUNICATIONS
ACTA ECOL. SIN.,ACTA ECOLOGICA SINICA
ACTA FARM. BONAERENSE,ACTA FARMACEUTICA BONAERENSE
ACTA GENET. SIN.,ACTA GENETICA SINICA
ACTA GEOCHIM.,ACTA GEOCHIMICA
ACTA GEOD. GEOPHYS.,ACTA GEODAETICA ET GEOPHYSICA
ACTA GEODYN. GEOMATER.,ACTA GEODYNAMICS ET GEOMATERIALIA
ACTA GEOL. SIN.,ACTA GEOLOGICA SINICA
ACTA GEOPHYS.,ACTA GEOPHYSICA
ACTA GEOTECH.,ACTA GEOTECHNICA
ACTA HISTOCHEM.,ACTA HISTOCHEMICA
ACTA HORTIC.,ACTA HORTICULTURAE
ACTA HYDROCH. HYDROB.,ACTA HYDROCHIMICA ET HYDROBIOLOGICA
ACTA HYDROPHYS.,ACTA HYDROPHYSICA
ACTA MATER.,ACTA MATERIALIA
ACTA MATH.,ACTA MATHEMATICA
ACTA MATH. APPL. SINICA,ACTA MATHEMATICAE APPLICATAE SINICA
ACTA MATH. HUNG.,ACTA MATHEMATICA HUNGARICA
ACTA MATH. SCI.,ACTA MATHEMATICA SCIENTIA
ACTA MATH. SINICA,ACTA MATHEMATICA SINICA
ACTA MECH.,ACTA MECHANICA
ACTA MECH. SIN.,ACTA MECHANICA SINICA
ACTA MECH. SOLIDA SIN.,ACTA MECHANICA SOLIDA SINICA
ACTA METALL.,ACTA METALLURGICA
ACTA METALL. MATER.,ACTA METALLURGICA ET MATERIALIA
ACTA METALL. SINICA,ACTA METALLURGICA SINICA
ACTA METALL. SINICA ENGL.LETT.,ACTA METALLURGICA SINICA- ENGLISH LETTERS
ACTA MONTAN. SLOVACA,ACTA MONTANISTICA SLOVACA
ACTA MORPHOL. NEERL.-SCAND.,ACTA MORPHOLOGICA NEERLANDO-SCANDINAVICA
ACTA NEUROL. SCAND.,ACTA NEUROLOGICA SCANDINAVICA
ACTA NEUROPATHOL.,ACTA NEUROPATHOLOGICA
ACTA NEUROPSYCHIATR.,ACTA NEUROPSYCHIATRICA
ACTA NUMER.,ACTA NUMERICA
ACTA OCEANOLOG. SIN.,ACTA OCEANOLOGICA SINICA
ACTA ODONTOL. SCAND.,ACTA ODONTOLOGICA SCANDINAVICA
ACTA ORNITHOL.,ACTA ORNITHOLOGICA
ACTA PALAEONTOL. POLONICA,ACTA PALAEONTOLOGICA POLONICA
ACTA PARASITOL.,ACTA PARASITOLOGY
ACTA PHARMACOL. SIN.,ACTA PHARMACOLOGICA SINICA
ACTA PHYS. CHIM. DEBRECINA,ACTA PHYSICA ET CHIMICA DEBRECINA
ACTA PHYS. CHIM. SIN.,ACTA PHYSICO-CHIMICA SINICA
ACTA PHYS. DEBRECINA,ACTA PHYSICA DEBRECINA
ACTA PHYS. POL. A,ACTA PHYSICA POLONICA A
ACTA PHYS. POL. B,ACTA PHYSICA POLONICA B
ACTA PHYS. POL. B. PROC. SUPPL.,ACTA PHYSICA POLONICA PROCEEDINGS SUPPLEMENT
ACTA PHYSIOL.,ACTA PHYSIOLOGICA
ACTA PHYSIOL. SCAND.,ACTA PHYSIOLOGICA SCANDINAVICA
ACTA POLYM.,ACTA POLYMERICA
ACTA POLYTECH. HUNG.,ACTA POLYTECHNICA HUNGARICA
"ACTA POLYTECH. SCAND., CHEM. TECHNOL. SER",ACTA POLYTECHNICA SCANDINAVICA - CHEMICAL TECHNOLOGY SERIES
ACTA SCI. MATH.,ACTA SCIENTIARUM MATHEMATICARUM
ACTA SCI.-AGRON.,ACTA SCIENTIARUM-AGRONOMY
ACTA SEISMOL. SIN.,ACTA SEISMOLOGICA SINICA
ACTA TECH.,ACTA TECHNICA
ACTA TROP.,ACTA TROPICA
ACTA VET. SCAND.,ACTA VETERINARIA SCANDINAVICA
ACTA ZOOL.,ACTA ZOOLOGICA
ACTUAL. CHIM.,ACTUALITE CHIMIQUE
AD HOC NETWORKS,AD HOC NETWORKS
ADAPT. BEHAV.,ADAPTIVE BEHAVIOR
ADAPT. HUM. BEHAV. PHYSIOL.,ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY
ADDICT. BEHAV.,ADDICTIVE BEHAVIORS
ADDICT. BEHAV. REP.,ADDICTIVE BEHAVIORS REPORTS
ADDICT. BIOL.,ADDICTION BIOLOGY
ADDICT. RES. THEORY,ADDICTION RESEARCH & THEORY
ADDIT. MANUF.,ADDITIVE MANUFACTURING
ADDIT. POLYM.,ADDITIVES FOR POLYMERS
ADHAES. KLEBEN DICTEN,ADHAESION--KLEBEN & DICHTEN
ADHES. AGE,ADHESIVES AGE
ADSORPT. SCI. TECHNOL.,ADSORPTION SCIENCE AND TECHNOLOGY
ADV. ACOUST. VIBR.,ADVANCES IN ACOUSTICS AND VIBRATIONS
ADV. AERODYN.,ADVANCES IN AERODYNAMICS
ADV. AGRIC.,ADVANCES IN AGRICULTURE
ADV. AGRON.,ADVANCES IN AGRONOMY
ADV. ANIM. BIOSCI.,ADVANCES IN ANIMAL BIOSCIENCES
ADV. APPL. BIODIVERS. SCI.,ADVANCES IN APPLIED BIODIVERSITY SCIENCE
ADV. APPL. CERAM.,ADVANCES IN APPLIED CERAMICS
ADV. APPL. CLIFFORD ALGEBRAS,ADVANCES IN APPLIED CLIFFORD ALGEBRAS
ADV. APPL. ENERGY,ADVANCES IN APPLIED ENERGY
ADV. APPL. MATH.,ADVANCES IN APPLIED MATHEMATICS
ADV. APPL. MATH. MECH.,ADVANCES IN APPLIED MATHEMATICS AND MECHANICS
ADV. APPL. MICROBIOL.,ADVANCES IN APPLIED MICROBIOLOGY
ADV. APPL. PROBAB.,ADVANCES IN APPLIED PROBABILITY
ADV. ARCHAEOL. PRACT.,ADVANCES IN ARCHAEOLOGICAL PRACTICE
ADV. ARCHAEOMATER.,ADVANCES IN ARCHAEOMATERIALS
ADV. ASTRON.,ADVANCES IN ASTRONOMY
ADV. ASTRONAUT. SCI. TECHNOL.,ADVANCES IN ASTRONAUTICS SCIENCE AND TECHNOLOGY
ADV. AT. MOL. OPT. PHYS.,ADVANCES IN ATOMIC MOLECULAR AND OPTICAL PHYSICS
ADV. ATMOS. SCI.,ADVANCES IN ATMOSPHERIC SCIENCES
ADV. BIOCHEM. ENG./BIOTECHNOL.,ADVANCES IN BIOCHEMICAL ENGINEERING / BIOTECHNOLOGY
ADV. BIOINF.,ADVANCES IN BIOINFORMATICS
ADV. BIOL. REGUL.,ADVANCES IN BIOLOGICAL REGULATION
ADV. BIOMARKER SCI. TECHNOL.,ADVANCES IN BIOMARKER SCIENCES AND TECHNOLOGY
ADV. BIONICS BIOKINET. BIOCYBERN.,"ADVANCED BIONICS, BIOKINETICS AND BIOCYBERNETICS"
ADV. BIOPHYS.,ADVANCES IN BIOPHYSICS
ADV. BIOSYST.,ADVANCED BIOSYSTEMS
ADV. BRIDGE ENG.,ADVANCES IN BRIDGE ENGINEERING
ADV. BUILD. ENERGY RES.,ADVANCES IN BUILDING ENERGY RESEARCH
ADV. CARBOHYDR. CHEM. BIOCHEM.,ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY
ADV. CATAL.,ADVANCES IN CATALYSIS
ADV. CEM. BASED MATER.,ADVANCED CEMENT BASED MATERIALS
ADV. CEM. RES.,ADVANCES IN CEMENT RESEARCH
ADV. CHEM. PHYS.,ADVANCES IN CHEMICAL PHYSICS
ADV. CHEM. SER.,ADVANCES IN CHEMISTRY SERIES
ADV. CHROMATOGR.,ADVANCES IN CHROMATOGRAPHY
ADV. CIV. ENG.,ADVANCES IN CIVIL ENGINEERING
ADV. CLIM. CHANGE RES.,ADVANCES IN CLIMATE CHANGE RESEARCH
ADV. CLIN. RADIOL.,ADVANCES IN CLINICAL RADIOLOGY
ADV. COLLOID INTERFACE SCI.,ADVANCES IN COLLOID AND INTERFACE SCIENCE
ADV. COMPLEX SYST.,ADVANCES IN COMPLEX SYSTEMS
ADV. COMPOS. HYBRID MATER.,ADVANCED COMPOSITES AND HYBRID MATERIALS
ADV. COMPOS. LETT.,ADVANCED COMPOSITES LETTERS
ADV. COMPOS. MATER,ADVANCED COMPOSITE MATERIALS
ADV. COMPUT. INTELL.,ADVANCES IN COMPUTATIONAL INTELLIGENCE
ADV. COMPUT. MATH.,ADVANCES IN COMPUTATIONAL MATHEMATICS
ADV. CONCR. CONSTR.,ADVANCES IN CONCRETE CONSTRUCTION
ADV. CONDENS. MATTER PHYS.,ADVANCES IN CONDENSED MATTER PHYSICS
ADV. CONTIN. DISCRETE MODELS,ADVANCES IN CONTINUOUS AND DISCRETE MODELS
ADV. CONTROL APPL.,ADVANCED CONTROL FOR APPLICATIONS
ADV. CRYOG. ENG.,ADVANCES IN CRYOGENIC ENGINEERING
ADV. DAMAGE MECH.,ADVANCES IN DAMAGE MECHANICS
ADV. DATA ANAL. CLASSIF.,ADVANCES IN DATA ANALYSIS AND CLASSIFICATION
ADV. DEV. BIOL.,ADVANCES IN DEVELOPMENTAL BIOLOGY
ADV. DEVICE MATER.,ADVANCED DEVICE MATERIALS
ADV. DIFFER. EQUATIONS,ADVANCES IN DIFFERENCE EQUATIONS
ADV. DIFFER. EQUATIONS,ADVANCES IN DIFFERENTIAL EQUATIONS
ADV. DRUG ALCOHOL RES.,ADVANCES IN DRUG AND ALCOHOL RESEARCH
ADV. DRUG DELIVERY REV.,ADVANCED DRUG DELIVERY REVIEWS
ADV. ELECTRON. MATER.,ADVANCED ELECTRONIC MATERIALS
ADV. ENERGY CONVERS.,ADVANCED ENERGY CONVERSION
ADV. ENERGY MATER.,ADVANCED ENERGY MATERIALS
ADV. ENERGY SUSTAINABILITY RES.,ADVANCED ENERGY AND SUSTAINABILITY RESEARCH
ADV. ENG. EDUC.,ADVANCES IN ENGINEERING EDUCATION
ADV. ENG. INF.,ADVANCED ENGINEERING INFORMATICS
ADV. ENG. MATER.,ADVANCED ENGINEERING MATERIALS
ADV. ENG. SOFTWARE,ADVANCES IN ENGINEERING SOFTWARE
ADV. ENVIRON. RES.,ADVANCES IN ENVIRONMENTAL RESEARCH
ADV. ENZYME REGUL.,ADVANCES IN ENZYME REGULATION
ADV. ENZYMOL. RELAT. AREAS MOL. BIOL.,ADVANCES IN ENZYMOLOGY AND RELATED AREAS OF MOLECULAR BIOLOGY
ADV. FIBER MATER.,ADVANCED FIBER MATERIALS
ADV. FILTR. SEP. TECHNOL.,ADVANCES IN FILTRATION AND SEPARATION TECHNOLOGY
ADV. FORENSIC HAEMOGENET.,ADVANCES IN FORENSIC HAEMOGENETICS
ADV. FREE RADICAL BIOL. MED.,ADVANCES IN FREE RADICAL BIOLOGY AND MEDICINE
ADV. FUNCT. MATER.,ADVANCED FUNCTIONAL MATERIALS
ADV. FUZZY SYST.,ADVANCES IN FUZZY SYSTEMS
ADV. GENET.,ADVANCED GENETICS
ADV. GEOECOL.,ADVANCES IN GEOECOLOGY
ADV. GEOSCI.,ADVANCES IN GEOSCIENCES
ADV. HEALTHCARE MATER.,ADVANCED HEALTHCARE MATERIALS
ADV. HETEROCYCL. CHEM.,ADVANCES IN HETEROCYCLIC CHEMISTRY
ADV. HIGH ENERGY PHYS.,ADVANCES IN HIGH ENERGY PHYSICS
ADV. HUM. COMPUT. INTERACT.,ADVANCES IN HUMAN-COMPUTER INTERACTION
ADV. IND. ENG. POLYM. RES.,ADVANCED INDUSTRIAL AND ENGINEERING POLYMER RESEARCH
ADV. IND. MANUF. ENG.,ADVANCES IN INDUSTRIAL AND MANUFACTURING ENGINEERING
ADV. INORG. CHEM.,ADVANCES IN INORGANIC CHEMISTRY
ADV. LIMNOL.,ADVANCES IN LIMNOLOGY
ADV. LIPID RES.,ADVANCES IN LIPID RESEARCH
ADV. MAGN. OPT. RESON.,ADVANCES IN MAGNETIC AND OPTICAL RESONANCE
ADV. MANUF. POLYM. COMPOS. SCI.,ADVANCED MANUFACTURING: POLYMER & COMPOSITES SCIENCE
ADV. MASS SPECTROM.,ADVANCES IN MASS SPECTROMETRY
ADV. MATER.,ADVANCED MATERIALS
ADV. MATER. FORUM,ADVANCED MATERIALS FORUM
ADV. MATER. INTERFACES,ADVANCED MATERIALS INTERFACES
ADV. MATER. OPT. ELECTRON.,ADVANCED MATERIALS FOR OPTICS AND ELECTRONICS
ADV. MATER. PROCESS. TECHNOL.,ADVANCES IN MATERIALS AND PROCESSING TECHNOLOGIES
ADV. MATER. PROCESSES,ADVANCED MATERIALS AND PROCESSES
ADV. MATER. RES.,ADVANCES IN MATERIALS RESEARCH
ADV. MATER. SCI. ENG.,ADVANCES IN MATERIALS SCIENCE AND ENGINEERING
ADV. MATER. TECHNOL.,ADVANCED MATERIALS TECHNOLOGIES
ADV. MATH.,ADVANCES IN MATHEMATICS
ADV. MATH. COMMUN.,ADVANCES IN MATHEMATICS AND COMMUNICATIONS
